id,required_skills,candidate_skills,degree,years_experience,overlap,fit,probability,missing_skills
FIT0082,"Airflow, GCP, Kubernetes, Node.js, NumPy, PyTorch, React","CI/CD, ETL, Flask, JavaScript, Kubernetes, Node.js, Pandas, Tableau, TensorFlow, TypeScript",Bachelors,4.5,2.0,1.0,0.485,"Airflow, GCP, NumPy, PyTorch, React"
FIT0083,"Django, Git, GraphQL, JavaScript, Kubernetes, Python, Scikit-learn","Azure, Django, Hadoop, Java, Tableau",Bachelors,3.6,1.0,0.0,0.358,"Git, GraphQL, JavaScript, Kubernetes, Python, Scikit-learn"
FIT0084,"Docker, Git, JavaScript, Python, SQL","Azure, Docker, Linux, TypeScript",Bachelors,1.8,1.0,,0.304,"Git, JavaScript, Python, SQL"
FIT0085,"Airflow, Excel, Java, Node.js, PyTorch, Python, Tableau","Azure, CI/CD, Django, Kubernetes, Node.js, R, TypeScript",Bachelors,1.9,1.0,0.0,0.307,"Airflow, Excel, Java, PyTorch, Python, Tableau"
FIT0086,"Azure, GCP, Git, Scikit-learn, Spark, Tableau","GCP, Java, JavaScript, Linux, Pandas, PyTorch, Spark",Masters,4.1,2.0,0.0,0.533,"Azure, Git, Scikit-learn, Tableau"
FIT0087,"ETL, Flask, Hadoop, Pandas, React, Spark, TypeScript","Django, Docker, ETL, Excel, Flask, Kubernetes, Linux, Node.js, Spark, TensorFlow",Masters,2.3,3.0,1.0,0.579,"Hadoop, Pandas, React, TypeScript"
FIT0088,"CI/CD, Excel, Kubernetes, Node.js, Python, SQL, Spark","Docker, GraphQL, Pandas, TypeScript",Masters,2.7,0.0,0.0,0.291,"CI/CD, Excel, Kubernetes, Node.js, Python, SQL, Spark"
FIT0089,"Airflow, Azure, CI/CD, Kubernetes, Node.js, Tableau","AWS, Azure, ETL, GCP, Kubernetes, REST, Spark",Masters,1.4,2.0,0.0,0.452,"Airflow, CI/CD, Node.js, Tableau"
FIT0090,"AWS, CI/CD, Excel, GCP, Git, JavaScript, REST","Django, ETL, Python, REST",Masters,4.3,1.0,0.0,0.439,"AWS, CI/CD, Excel, GCP, Git, JavaScript"
FIT0091,"CI/CD, Hadoop, Java, Linux, Power BI, TensorFlow","AWS, Azure, CI/CD, Docker, ETL, Node.js, Power BI, PyTorch, R",Bachelors,3.3,2.0,0.0,0.449,"Hadoop, Java, Linux, TensorFlow"
FIT0092,"Airflow, Django, Flask, Git, NumPy, SQL","ETL, Excel, GCP, JavaScript, Node.js, PyTorch, R, TypeScript",Bachelors,2.3,0.0,0.0,0.219,"Airflow, Django, Flask, Git, NumPy, SQL"
FIT0093,"Azure, GraphQL, JavaScript, Power BI, SQL, Spark, Tableau, TensorFlow","Git, Java, Kubernetes, Linux, NumPy, TypeScript",Masters,2.9,0.0,0.0,0.297,"Azure, GraphQL, JavaScript, Power BI, SQL, Spark, Tableau, TensorFlow"
FIT0094,"Airflow, Hadoop, R, React, Spark","AWS, Flask, Git, Hadoop, PyTorch, Python, R, REST, TensorFlow",PhD,3.4,2.0,1.0,0.512,"Airflow, React, Spark"
FIT0095,"CI/CD, GraphQL, Linux, Pandas, REST, TensorFlow","ETL, Flask, Git, R, Scikit-learn",Masters,5.5,0.0,1.0,0.375,"CI/CD, GraphQL, Linux, Pandas, REST, TensorFlow"
FIT0096,"Azure, Django, Docker, Git, R, TensorFlow","Java, Kubernetes, Python, Spark",Bachelors,6.0,0.0,0.0,0.33,"Azure, Django, Docker, Git, R, TensorFlow"
FIT0097,"Flask, GCP, Hadoop, NumPy, PyTorch, TensorFlow","Docker, ETL, GCP, JavaScript, PyTorch, Scikit-learn, TensorFlow, TypeScript",Masters,0.8,3.0,1.0,0.534,"Flask, Hadoop, NumPy"
FIT0098,"Django, Docker, Excel, Flask, Kubernetes, Linux, Python, SQL","Azure, CI/CD, Django, Docker, Linux, NumPy, Pandas, Spark, TensorFlow",Bachelors,4.9,3.0,0.0,0.597,"Excel, Flask, Kubernetes, Python, SQL"
FIT0099,"Flask, Hadoop, NumPy, Power BI, PyTorch, Tableau","Airflow, Azure, Docker, Flask, NumPy, REST, SQL, TensorFlow",Bachelors,5.4,2.0,0.0,0.512,"Hadoop, Power BI, PyTorch, Tableau"
FIT0100,"Airflow, Docker, Git, Kubernetes, NumPy, Power BI, PyTorch","AWS, ETL, Flask, Git, GraphQL, Kubernetes, Pandas, REST, Scikit-learn, TensorFlow",Bachelors,2.5,2.0,1.0,0.425,"Airflow, Docker, NumPy, Power BI, PyTorch"
FIT0101,"ETL, Hadoop, JavaScript, Pandas, SQL, Tableau","Flask, Java, JavaScript, Node.js",Masters,3.5,1.0,0.0,0.415,"ETL, Hadoop, Pandas, SQL, Tableau"
FIT0102,"Flask, Git, Hadoop, Kubernetes, Node.js, Python, R, TypeScript","Airflow, Azure, GCP, Java, Linux, Node.js, NumPy, Power BI, REST",Masters,1.0,1.0,0.0,0.34,"Flask, Git, Hadoop, Kubernetes, Python, R, TypeScript"
FIT0103,"Airflow, Azure, Docker, Node.js, TypeScript","Azure, Linux, NumPy, REST, Spark, Tableau",Bachelors,2.3,1.0,0.0,0.319,"Airflow, Docker, Node.js, TypeScript"
FIT0104,"Docker, GCP, Kubernetes, Node.js, R, Spark","ETL, Git, GraphQL, Hadoop, Linux, Python, REST",Bachelors,1.0,0.0,0.0,0.18,"Docker, GCP, Kubernetes, Node.js, R, Spark"
FIT0105,"Django, Excel, GCP, REST, Scikit-learn, Spark, Tableau","Azure, CI/CD, Git, Hadoop, Node.js, Python, SQL, Tableau",Bachelors,2.4,1.0,1.0,0.322,"Django, Excel, GCP, REST, Scikit-learn, Spark"
FIT0106,"Airflow, Django, Java, JavaScript, Kubernetes, NumPy, Tableau","Excel, Pandas, Power BI, Tableau",Masters,3.8,1.0,0.0,0.424,"Airflow, Django, Java, JavaScript, Kubernetes, NumPy"
FIT0107,"Airflow, CI/CD, GraphQL, Power BI, PyTorch, R","Excel, Linux, Pandas, PyTorch, REST, TypeScript",Bachelors,3.5,1.0,1.0,0.355,"Airflow, CI/CD, GraphQL, Power BI, R"
FIT0108,"Airflow, Flask, GraphQL, SQL, Tableau","Azure, Flask, GCP, GraphQL, JavaScript, NumPy, Pandas, Power BI, React, SQL",No Degree,5.4,3.0,0.0,0.612,"Airflow, Tableau"
FIT0109,"Excel, NumPy, PyTorch, SQL, Spark","Azure, CI/CD, PyTorch, Spark",Bachelors,1.5,2.0,0.0,0.395,"Excel, NumPy, SQL"
fit0110,"ci/cd, gcp, hadoop, java, tableau, tensorflow","azure, django, flask, node.js",bachelors,4.1,0.0,0.0,0.273,"ci/cd, gcp, hadoop, java, tableau, tensorflow"
FIT0111,"Flask, Java, JavaScript, NumPy, Python, REST","Airflow, ETL, Excel, JavaScript, SQL",Masters,4.4,1.0,1.0,0.442,"Flask, Java, NumPy, Python, REST"
FIT0112,"Airflow, ETL, Java, Node.js, R","CI/CD, Excel, Git, JavaScript, Kubernetes, Linux, Node.js, NumPy, Pandas, Tableau",Bachelors,1.4,1.0,0.0,0.292,"Airflow, ETL, Java, R"
FIT0113,"Django, Python, React, Tableau, TypeScript","AWS, Django, GCP, Kubernetes, NumPy, REST, Spark, Tableau, TensorFlow",Bachelors,5.2,2.0,0.0,0.506,"Python, React, TypeScript"
FIT0114,"AWS, Azure, ETL, JavaScript, Python, Spark","AWS, GCP, Git, Kubernetes, Linux, Node.js, NumPy, SQL, Scikit-learn, Spark",Bachelors,6.0,2.0,0.0,0.53,"Azure, ETL, JavaScript, Python"
FIT0115,"AWS, Airflow, Django, Flask, NumPy","AWS, CI/CD, Flask, JavaScript, Pandas, Python, React, SQL",Bachelors,5.1,2.0,1.0,0.503,"Airflow, Django, NumPy"
FIT0116,"Docker, Flask, GCP, Node.js, Power BI, PyTorch, TypeScript","Azure, Docker, Excel, Hadoop, NumPy, TypeScript",Bachelors,6.2,2.0,1.0,0.536,"Flask, GCP, Node.js, Power BI, PyTorch"
FIT0117,"Azure, ETL, Hadoop, Node.js, Power BI, SQL, Scikit-learn","Azure, CI/CD, Flask, Linux, Node.js",Masters,2.6,2.0,0.0,0.488,"ETL, Hadoop, Power BI, SQL, Scikit-learn"
FIT0118,"Airflow, Django, Java, Node.js, Pandas, PyTorch, R, TypeScript","JavaScript, Kubernetes, React, Scikit-learn",Bachelors,0.3,0.0,0.0,0.159,"Airflow, Django, Java, Node.js, Pandas, PyTorch, R, TypeScript"
FIT0119,"ETL, NumPy, R, REST, SQL","AWS, CI/CD, Java, NumPy, REST",Masters,2.8,2.0,0.0,0.494,"ETL, R, SQL"
FIT0120,"Azure, Django, Excel, REST, React, Scikit-learn","Docker, Git, Java, REST, Spark",Masters,3.2,1.0,0.0,0.406,"Azure, Django, Excel, React, Scikit-learn"
FIT0121,"CI/CD, Git, NumPy, PyTorch, R, Scikit-learn","Azure, Docker, GCP, GraphQL, Linux, React, SQL, Tableau",Bachelors,4.6,0.0,0.0,,"CI/CD, Git, NumPy, PyTorch, R, Scikit-learn"
